periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2,param3
227,75.0,0.004426708314130717,4,3,1,12984.423311537641,13041.901566165017,13143.00804773435,12984.423311537641,4.65668449197861,69.11764705882352,13,7,5,5
228,33.33333333333333,-0.011389638068988139,3,1,2,13041.901566165017,12893.359027595028,13041.901566165017,12893.359027595028,4.390981240981241,68.25396825396825,13,7,6,5
229,100.0,0.008255206324417732,2,2,0,12893.359027595028,12999.79636658262,12999.79636658262,12893.359027595028,2.85,68.75,6,34,41,5
230,100.0,0.00401648045981063,1,1,0,12999.79636658262,13052.009794670515,13052.009794670515,12999.79636658262,2.85,68.75,5,35,52,5
231,100.0,0.0037991156343151443,1,1,0,13052.009794670515,13101.595889140683,13101.595889140683,13052.009794670515,2.1884615384615382,84.61538461538461,40,10,5,2
233,100.0,0.0072134234497488745,2,2,0,13101.595889140683,13196.103248156543,13196.103248156543,13101.595889140683,2.2727272727272725,70.0,10,31,5,2
234,100.0,0.0036377110470715377,1,1,0,13196.103248156543,13244.10685872066,13244.10685872066,13196.103248156543,2.3487012987012985,71.42857142857143,31,10,5,3
235,100.0,0.0069048979053308495,2,2,0,13244.10685872066,13335.556064427417,13335.556064427417,13244.10685872066,2.289712918660287,73.68421052631578,13,32,5,2
236,100.0,0.0033793032590622094,1,1,0,13335.556064427417,13380.620952497344,13380.620952497344,13335.556064427417,2.422314049586777,72.72727272727273,11,37,5,3
237,50.0,-0.00489693021317556,2,1,1,13380.620952497344,13315.09698548401,13380.620952497344,13267.909392852984,2.422314049586777,72.72727272727273,11,37,5,2
238,66.66666666666666,-0.0009366981330776781,3,2,1,13315.09698548401,13302.624758995958,13315.09698548401,13211.453245250921,2.414822134387352,69.56521739130434,24,18,5,2
244,100.0,0.0038020254254253643,1,1,0,13302.624758995958,13353.201676554554,13353.201676554554,13302.624758995958,2.1334224598930485,70.58823529411765,5,10,12,1
245,100.0,0.0036481936971851465,1,1,0,13353.201676554554,13401.916742748203,13401.916742748203,13353.201676554554,2.3636363636363633,75.0,5,10,12,1
246,75.0,0.003647845693796268,4,3,1,13401.916742748203,13450.804867026853,13453.202164131882,13348.575110744649,2.3636363636363633,75.0,6,7,8,1
247,100.0,0.0037690520531315523,1,1,0,13450.804867026853,13501.501650727192,13501.501650727192,13450.804867026853,2.05,68.75,60,11,16,3
248,40.0,-0.018799606120958247,5,2,3,13501.501650727192,13247.678737652053,13501.501650727192,13247.678737652053,2.414822134387352,69.56521739130434,5,10,60,2
250,100.0,0.007002175122173772,2,2,0,13247.678737652053,13340.441304135391,13340.441304135391,13247.678737652053,2.1151515151515152,83.33333333333334,60,50,5,4
251,100.0,0.003925677461416316,1,1,0,13340.441304135391,13392.811573888383,13392.811573888383,13340.441304135391,2.1151515151515152,83.33333333333334,60,50,5,4
252,71.42857142857143,0.00388087637873038,7,5,2,13392.811573888383,13444.787419970273,13444.787419970273,13238.524614332588,2.4878787878787882,70.83333333333334,5,5,9,2
254,100.0,0.0068518480553864565,2,2,0,13444.787419970273,13536.90906050888,13536.90906050888,13444.787419970273,2.414822134387352,69.56521739130434,16,29,7,4
255,100.0,0.003337188024799878,1,1,0,13536.90906050888,13582.084271318416,13582.084271318416,13536.90906050888,2.5049586776859503,77.27272727272727,16,29,7,4
256,100.0,0.011024789565552572,3,3,0,13582.084271318416,13731.823892271303,13731.823892271303,13582.084271318416,3.2916851441241683,68.29268292682927,20,11,7,4
