periodo,per acertos,per total,moves,n acertos,n erros,open,close,high,low,fitnesst,wint,param0,param1,param2
223,100.0,0.0043484130465487915,1,1,0,12769.324732974706,12824.851031239192,12824.851031239192,12769.324732974706,4.6884716732542815,68.11594202898551,11,30,4
224,100.0,0.016582947048144368,4,4,0,12824.851031239192,13037.524856790571,13037.524856790571,12824.851031239192,4.508741258741258,69.23076923076923,11,43,4
225,50.0,-0.009639976316291009,6,3,3,13037.524856790571,12911.843425948055,13037.524856790571,12749.008011582695,4.837373737373737,68.05555555555556,11,5,5
226,50.0,-0.010239362782518982,6,3,3,12911.843425948055,12779.63437691869,12911.843425948055,12673.923310279302,4.6884716732542815,68.11594202898551,11,5,5
227,75.0,0.004368659143164305,4,3,1,12779.63437691869,12835.464243485712,12935.246677867512,12779.63437691869,4.594765840220386,71.21212121212122,14,5,5
228,50.0,-0.00714262090977694,4,2,2,12835.464243485712,12743.785388193497,12936.351080463328,12743.785388193497,4.244298921417565,71.1864406779661,14,9,5
229,0.0,-0.007469204088562278,1,0,1,12743.785388193497,12648.599454268242,12743.785388193497,12648.599454268242,2.3854066985645934,78.94736842105263,51,31,5
230,100.0,0.004134852049820221,1,1,0,12648.599454268242,12700.899541649078,12700.899541649078,12648.599454268242,2.3854066985645934,78.94736842105263,51,30,5
235,100.0,0.0031860646605864754,1,1,0,12700.899541649078,12741.365428836385,12741.365428836385,12700.899541649078,2.1636363636363636,75.0,36,5,2
236,0.0,-0.008200890533499976,1,0,1,12741.365428836385,12636.874885707177,12741.365428836385,12636.874885707177,2.2131313131313126,72.22222222222221,36,5,2
237,100.0,0.0035565205665667927,1,1,0,12636.874885707177,12681.818191135326,12681.818191135326,12636.874885707177,2.2131313131313126,72.22222222222221,36,5,2
238,50.0,-0.004266065715174289,2,1,1,12681.818191135326,12627.71672134405,12681.818191135326,12583.103846679689,2.2131313131313126,72.22222222222221,36,5,2
243,100.0,0.007849169585102093,2,2,0,12627.71672134405,12726.833811362509,12726.833811362509,12627.71672134405,2.3396694214876033,68.18181818181817,38,5,3
244,100.0,0.0038020254254253374,1,1,0,12726.833811362509,12775.221557098472,12775.221557098472,12726.833811362509,2.194019138755981,68.42105263157895,7,6,1
245,100.0,0.003646172508307244,1,1,0,12775.221557098472,12821.802218727498,12821.802218727498,12775.221557098472,2.414822134387352,69.56521739130434,7,6,1
246,50.0,-0.004294490172417853,2,1,1,12821.802218727498,12766.739115106488,12821.802218727498,12722.872713201143,2.289712918660287,73.68421052631578,15,37,1
247,66.66666666666666,-0.0009113877618678524,3,2,1,12766.739115106488,12755.10366531802,12862.3828858593,12755.10366531802,2.3487012987012985,71.42857142857143,15,25,2
248,100.0,0.013483607752760612,4,4,0,12755.10366531802,12927.088479986967,12927.088479986967,12755.10366531802,2.558741258741259,69.23076923076923,15,7,2
249,100.0,0.0077079922071272705,2,2,0,12927.088479986967,13026.730377251552,13026.730377251552,12927.088479986967,2.559090909090909,72.0,15,9,2
250,100.0,0.003628900839141868,1,1,0,13026.730377251552,13074.003090048835,13074.003090048835,13026.730377251552,2.4878787878787882,70.83333333333334,15,26,2
251,50.0,-0.003764908625176664,2,1,1,13074.003090048835,13024.780663049523,13125.628338131257,13024.780663049523,2.7039184952978057,68.96551724137932,15,22,2
252,33.33333333333333,-0.011446329010537992,3,1,2,13024.780663049523,12875.694738290165,13024.780663049523,12875.694738290165,2.7727272727272725,70.0,15,37,2
253,80.0,0.007047614484452018,5,4,1,12875.694738290165,12966.437671025122,12966.437671025122,12820.212087667076,2.7039184952978057,68.96551724137932,15,58,2
254,50.0,-0.004908182080256088,2,1,1,12966.437671025122,12902.796034003439,12966.437671025122,12858.826089274964,2.85,68.75,15,8,2
257,100.0,0.0035490235476887465,1,1,0,12902.796034003439,12948.588360959142,12948.588360959142,12902.796034003439,2.3854066985645934,78.94736842105263,31,28,4
258,100.0,0.0028095291199217117,1,1,0,12948.588360959142,12984.967797021136,12984.967797021136,12948.588360959142,2.7039184952978057,68.96551724137932,10,51,4
259,100.0,0.006320963223518139,2,2,0,12984.967797021136,13067.045300924674,13067.045300924674,12984.967797021136,2.6294612794612795,70.37037037037037,14,20,5
260,0.0,-0.008089131523578092,1,0,1,13067.045300924674,12961.344252860941,13067.045300924674,12961.344252860941,2.4878787878787882,70.83333333333334,15,20,5
261,100.0,0.0038194637571396326,1,1,0,12961.344252860941,13010.849637478554,13010.849637478554,12961.344252860941,2.493873517786561,73.91304347826086,15,20,5
262,50.0,-0.00503022406398611,2,1,1,13010.849637478554,12945.402148539204,13010.849637478554,12899.24429332339,2.3396694214876033,68.18181818181817,14,20,4
263,100.0,0.0072032613694469234,2,2,0,12945.402148539204,13038.651263747732,13038.651263747732,12945.402148539204,2.2772727272727273,81.25,42,5,3
264,50.0,-0.004220828417938056,2,1,1,13038.651263747732,12983.617353962121,13087.022628550054,12983.617353962121,2.2772727272727273,81.25,30,28,5
265,0.0,-0.016694616937385068,2,0,2,12983.617353962121,12766.860835776139,12983.617353962121,12766.860835776139,2.2131313131313126,72.22222222222221,42,5,3
266,75.0,0.001072070088453882,4,3,1,12766.860835776139,12780.547805401628,12808.629903732723,12701.308781864584,2.2131313131313126,72.22222222222221,20,5,1
267,100.0,0.0033876125237472434,1,1,0,12780.547805401628,12823.843349207556,12823.843349207556,12780.547805401628,2.2131313131313126,72.22222222222221,42,5,3
268,100.0,0.007603878683270741,2,2,0,12823.843349207556,12921.354298288199,12921.354298288199,12823.843349207556,2.422314049586777,72.72727272727273,19,6,4
269,100.0,0.007465032249569193,2,2,0,12921.354298288199,13017.81262483303,13017.81262483303,12921.354298288199,2.2772727272727273,81.25,49,10,3
271,100.0,0.0017829112520179214,1,1,0,13017.81262483303,13041.022229438506,13041.022229438506,13017.81262483303,2.2584415584415583,85.71428571428571,48,22,3
273,66.66666666666666,0.0007660838548463289,3,2,1,13041.022229438506,13051.01274601917,13151.504835890375,13041.022229438506,2.194019138755981,68.42105263157895,17,18,1
275,0.0,-0.008073595082845178,1,0,1,13051.01274601917,12945.64415368676,13051.01274601917,12945.64415368676,2.3396694214876033,68.18181818181817,19,17,1
276,100.0,0.0034365046948550164,1,1,0,12945.64415368676,12990.131920598827,12990.131920598827,12945.64415368676,2.558741258741259,69.23076923076923,16,18,1
277,100.0,0.009405694050998947,3,3,0,12990.131920598827,13112.313127126095,13112.313127126095,12990.131920598827,2.414822134387352,69.56521739130434,22,18,1
279,100.0,0.00374514928418717,1,1,0,13112.313127126095,13161.42069724819,13161.42069724819,13112.313127126095,2.289712918660287,73.68421052631578,6,47,2
280,100.0,0.010908279040273257,3,3,0,13161.42069724819,13304.9891467802,13304.9891467802,13161.42069724819,2.2131313131313126,72.22222222222221,6,47,2
281,80.0,0.0037908037562342386,5,4,1,13304.9891467802,13355.425749614471,13467.410395209723,13304.9891467802,2.1334224598930485,70.58823529411765,6,47,2
